2022-11-01 21:15:03 install diffutils:amd64 <none> 1:3.8-0ubuntu2
2022-11-01 21:15:03 status half-installed diffutils:amd64 1:3.8-0ubuntu2
2022-11-01 21:15:03 status unpacked diffutils:amd64 1:3.8-0ubuntu2
2022-11-01 21:15:03 upgrade dpkg:amd64 1.21.1ubuntu2 1.21.1ubuntu2
2022-11-01 21:15:03 status half-configured dpkg:amd64 1.21.1ubuntu2
2022-11-01 21:15:03 status unpacked dpkg:amd64 1.21.1ubuntu2
2022-11-01 21:15:03 status half-installed dpkg:amd64 1.21.1ubuntu2
2022-11-01 21:15:03 status unpacked dpkg:amd64 1.21.1ubuntu2
2022-11-01 21:15:03 install e2fsprogs:amd64 <none> 1.46.5-2ubuntu1
2022-11-01 21:15:03 status half-installed e2fsprogs:amd64 1.46.5-2ubuntu1
2022-11-01 21:15:04 status unpacked e2fsprogs:amd64 1.46.5-2ubuntu1
2022-11-01 21:15:04 install findutils:amd64 <none> 4.8.0-1ubuntu3
2022-11-01 21:15:04 status half-installed findutils:amd64 4.8.0-1ubuntu3
2022-11-01 21:15:04 status unpacked findutils:amd64 4.8.0-1ubuntu3
2022-11-01 21:15:04 install gcc-12-base:amd64 <none> 12-20220319-1ubuntu1
2022-11-01 21:15:04 status half-installed gcc-12-base:amd64 12-20220319-1ubuntu1
2022-11-01 21:15:04 status unpacked gcc-12-base:amd64 12-20220319-1ubuntu1
2022-11-01 21:15:04 install grep:amd64 <none> 3.7-1build1
2022-11-01 21:15:04 status half-installed grep:amd64 3.7-1build1
2022-11-01 21:15:04 status unpacked grep:amd64 3.7-1build1
2022-11-01 21:15:04 install gzip:amd64 <none> 1.10-4ubuntu4
2022-11-01 21:15:04 status half-installed gzip:amd64 1.10-4ubuntu4
2022-11-01 21:15:04 status unpacked gzip:amd64 1.10-4ubuntu4
2022-11-01 21:15:04 install hostname:amd64 <none> 3.23ubuntu2
2022-11-01 21:15:04 status half-installed hostname:amd64 3.23ubuntu2
